inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
Florida,1984,Male,Heterosexual / straight,No,Some college,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,Yes,Somewhat important,A few times a year,Seldom,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1982,Female,Heterosexual / straight,No,4-year,Yes,Mixed,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Not at all important,Never,Never,Agnostic,1,Most of the time,"$120,000 - $149,999",Own,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Texas,1991,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Not sure,Moderate,Yes,Very important,Once a week,A few times a week,Protestant,0,Don't know,"$100,000 - $119,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Missouri,1982,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,Broadband,Married,Independent,Conservative,Yes,Very important,A few times a year,Several times a day,Protestant,6,Hardly at all,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Someone else
Massachusetts,1991,Female,Heterosexual / straight,No,Post-grad,Yes,White,Part-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Seldom,Never,Protestant,0,Some of the time,"$40,000 - $49,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
South Carolina,1997,Male,Heterosexual / straight,No,Some college,Yes,White,Student,None,None,Never married,Democrat,Liberal,No,Somewhat important,Once a week,A few times a week,Mormon,0,Most of the time,"Less than $10,000",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Indiana,1996,Female,Lesbian / gay woman,No,4-year,Yes,White,Full-time,None,Broadband,Domestic / civil partnership,Democrat,Very liberal,Yes,Very important,Once or twice a month,Once a day,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Indiana,1995,Female,Heterosexual / straight,No,4-year,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Conservative,No,Not at all important,Seldom,Never,Nothing in particular,2,Some of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1972,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Very important,Once a week,Once a day,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1982,Male,Heterosexual / straight,No,Some college,Yes,Black,Unemployed,Broadband,None,Never married,Democrat,Moderate,Yes,Very important,Seldom,A few times a week,Protestant,0,Some of the time,"$60,000 - $69,999",Other,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Maryland,1976,Male,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Somewhat important,A few times a year,A few times a week,Nothing in particular,2,Some of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Kansas,1943,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1960,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,None,Married,Democrat,Liberal,No,Not at all important,Never,Seldom,Roman Catholic,0,Hardly at all,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
North Carolina,1970,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,None,Married,Republican,Very conservative,No,Not at all important,Never,Several times a day,Jewish,0,Most of the time,Prefer not to say,Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Connecticut,1981,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Democrat,Moderate,Yes,Not too important,Seldom,Seldom,Protestant,2,Some of the time,"$100,000 - $119,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Wisconsin,1994,Female,Heterosexual / straight,No,4-year,No,White,Full-time,None,Broadband,Never married,Democrat,Moderate,No,Not too important,A few times a year,Seldom,Roman Catholic,0,Hardly at all,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Michigan,1989,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
New York,1997,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Part-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Not at all important,Never,Seldom,Nothing in particular,0,Only now and then,Prefer not to say,Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Oklahoma,1980,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,None,Married,Democrat,Liberal,No,Not too important,Never,A few times a month,Nothing in particular,2,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1971,Female,Heterosexual / straight,No,Some college,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,Yes,Very important,Once or twice a month,Several times a day,Protestant,0,Only now and then,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Ohio,1989,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Conservative,No,Somewhat important,Seldom,Several times a day,Roman Catholic,0,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Iowa,1955,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,Yes,Very important,A few times a year,Once a day,Roman Catholic,0,Some of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Texas,1963,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Part-time,Broadband,Broadband,Married,Democrat,Liberal,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$50,000 - $59,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Kentucky,1990,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,A few times a year,A few times a week,Roman Catholic,0,Some of the time,"$40,000 - $49,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1956,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Democrat,Liberal,No,Not at all important,Never,Once a day,Roman Catholic,0,Most of the time,"$30,000 - $39,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Florida,1987,Female,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Very important,Once a week,Once a day,Roman Catholic,2,Most of the time,"$120,000 - $149,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Alabama,1994,Female,Bisexual,No,Some college,Yes,White,Student,Broadband,Broadband,Never married,Republican,Conservative,Yes,Very important,A few times a year,Once a day,Protestant,0,Most of the time,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Donald Trump
New Jersey,1980,Female,Heterosexual / straight,No,High school graduate,Yes,White,Other,Broadband,Broadband,Married,Independent,Liberal,No,Not at all important,Never,Never,Agnostic,1,Some of the time,"$10,000 - $19,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Texas,1996,Female,Heterosexual / straight,Yes,2-year,No,White,Part-time,Dial-up,Dial-up,Separated,Democrat,Liberal,No,Not too important,Once or twice a month,Once a week,Muslim,0,Only now and then,"$50,000 - $59,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Washington,1947,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Retired,Broadband,None,Married,Democrat,Liberal,No,Somewhat important,Seldom,Seldom,Protestant,0,Most of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Tennessee,1988,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Seldom,Several times a day,Protestant,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Ohio,1989,Male,Prefer not to say,Prefer not to say,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Independent,Moderate,Yes,Very important,More than once a week,Several times a day,Roman Catholic,2,Most of the time,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Vermont,1977,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Liberal,No,Somewhat important,Seldom,A few times a week,Something else,1,Some of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Illinois,1990,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,Broadband,None,Never married,Not sure,Moderate,No,Not too important,Seldom,Never,Nothing in particular,0,Some of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
South Carolina,1965,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Retired,Broadband,None,Married,Independent,Very conservative,No,Very important,More than once a week,Several times a day,Protestant,0,Only now and then,Prefer not to say,Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,I don't recall
Texas,1996,Male,Heterosexual / straight,No,Some college,Yes,Asian,Student,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$200,000 - $249,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Illinois,1965,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,Broadband,Broadband,Divorced,Democrat,Very conservative,No,Very important,A few times a year,Seldom,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Florida,1981,Female,Heterosexual / straight,No,4-year,Yes,White,Homemaker,None,Broadband,Married,Independent,Moderate,No,Somewhat important,A few times a year,A few times a week,Roman Catholic,2,Most of the time,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1964,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Very important,A few times a year,Once a day,Roman Catholic,0,Only now and then,"$30,000 - $39,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Utah,1988,Female,Heterosexual / straight,No,4-year,Yes,White,Homemaker,Broadband,None,Married,Republican,Conservative,No,Somewhat important,Once a week,Once a day,Mormon,2,Only now and then,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Minnesota,1960,Male,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,None,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Indiana,1952,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,None,Widowed,Democrat,Liberal,No,Somewhat important,Once a week,A few times a week,Roman Catholic,0,Some of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Tennessee,1992,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,None,Never married,Democrat,Moderate,No,Not too important,Seldom,Seldom,Something else,2,Most of the time,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Texas,1998,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Student,Broadband,Broadband,Never married,Not sure,Moderate,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Only now and then,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Colorado,1988,Female,Heterosexual / straight,No,2-year,Yes,White,Part-time,Broadband,Broadband,Divorced,Republican,Not sure,No,Somewhat important,Once or twice a month,A few times a month,Something else,2,Some of the time,"$30,000 - $39,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Montana,1998,Female,Heterosexual / straight,No,2-year,No,White,Student,Broadband,Broadband,Never married,Republican,Conservative,Yes,Somewhat important,Once a week,A few times a week,Something else,0,Only now and then,"$40,000 - $49,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Illinois,1992,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,Broadband,Never married,Republican,Moderate,No,Somewhat important,Seldom,Seldom,Nothing in particular,0,Some of the time,"Less than $10,000",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
New York,1961,Female,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,Once or twice a month,Once a day,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Florida,1980,Female,Heterosexual / straight,No,4-year,Yes,Hispanic,Homemaker,Broadband,Broadband,Married,Democrat,Very liberal,No,Not too important,Seldom,Seldom,Nothing in particular,2,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Maryland,1989,Female,Bisexual,No,4-year,Yes,White,Homemaker,Broadband,Broadband,Domestic / civil partnership,Democrat,Moderate,No,Very important,Seldom,Once a day,Nothing in particular,2,Some of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Ohio,1987,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Conservative,Yes,Very important,More than once a week,Several times a day,Roman Catholic,2,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Colorado,1989,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,None,Broadband,Married,Independent,Moderate,No,Somewhat important,Never,Never,Something else,0,Only now and then,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Oregon,1994,Female,Bisexual,No,No HS,Yes,White,Homemaker,None,None,Widowed,Independent,Very liberal,No,Not too important,Seldom,Don't know,Nothing in particular,0,Hardly at all,"$10,000 - $19,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Washington,1948,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$40,000 - $49,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,Donald Trump
California,1978,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Moderate,No,Very important,Seldom,Several times a day,Roman Catholic,1,Hardly at all,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
North Carolina,1977,Female,Heterosexual / straight,No,Some college,Yes,Black,Full-time,Broadband,Broadband,Divorced,Democrat,Very conservative,Yes,Very important,Once or twice a month,Several times a day,Protestant,1,Most of the time,"$80,000 - $99,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Colorado,1985,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,None,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Some of the time,"$50,000 - $59,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Tennessee,1942,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Republican,Conservative,Yes,Very important,Never,Several times a day,Protestant,0,Some of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Texas,1978,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,None,Broadband,Married,Not sure,Not sure,No,Somewhat important,Once or twice a month,A few times a week,Protestant,0,Only now and then,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Hillary Clinton
Pennsylvania,1992,Female,Bisexual,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Agnostic,0,Some of the time,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Arizona,1972,Male,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,A few times a year,Once a day,Protestant,5,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Wisconsin,1992,Female,Heterosexual / straight,Prefer not to say,4-year,Yes,White,Part-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Nothing in particular,0,Some of the time,"$50,000 - $59,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Hillary Clinton
Oklahoma,1967,Female,Heterosexual / straight,No,Some college,No,Black,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
California,1986,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,Once a week,Several times a day,Roman Catholic,0,Some of the time,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,Donald Trump
Illinois,1954,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Part-time,Broadband,None,Never married,Democrat,Moderate,No,Very important,Once or twice a month,A few times a week,Protestant,0,Some of the time,"$60,000 - $69,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Massachusetts,1993,Male,Heterosexual / straight,No,4-year,Yes,White,Student,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,Seldom,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Virginia,1982,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Republican,Conservative,No,Not too important,A few times a year,Seldom,Roman Catholic,0,Only now and then,"$80,000 - $99,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Illinois,1996,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Other,Broadband,Broadband,Never married,Democrat,Very liberal,Yes,Not too important,Once or twice a month,A few times a week,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,Hillary Clinton
Georgia,1975,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Seldom,Seldom,Agnostic,1,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Florida,1981,Male,Heterosexual / straight,No,2-year,Yes,White,Unemployed,Broadband,None,Never married,Democrat,Very liberal,No,Not at all important,Never,Seldom,Jewish,0,Some of the time,"$10,000 - $19,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Colorado,1986,Female,Heterosexual / straight,No,Some college,Yes,White,Student,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Some of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
West Virginia,1937,Male,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,None,Widowed,Other,Conservative,Yes,Very important,More than once a week,A few times a week,Protestant,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Illinois,1975,Male,Gay man,No,High school graduate,Yes,White,Temporarily laid off,Broadband,None,Never married,Democrat,Liberal,No,Not too important,Once or twice a month,Never,Buddhist,0,Most of the time,"$20,000 - $29,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1942,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,None,Married,Independent,Moderate,No,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,Prefer not to say,Own,Other,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
North Carolina,1938,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Dial-up,None,Married,Independent,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Rural area,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Pennsylvania,1984,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not at all important,Never,Never,Nothing in particular,0,Only now and then,"$30,000 - $39,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Virginia,1989,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Dial-up,Never married,Democrat,Liberal,No,Somewhat important,Once a week,Seldom,Protestant,0,Most of the time,"$50,000 - $59,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Pennsylvania,1994,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Some of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Ohio,1994,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,No,Somewhat important,A few times a year,A few times a month,Roman Catholic,0,Hardly at all,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Maryland,1973,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,A few times a year,Once a day,Protestant,0,Some of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
California,1989,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Once a day,Nothing in particular,1,Most of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Pennsylvania,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Somewhat important,Once a week,Several times a day,Protestant,0,Only now and then,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
